Jahr;Monate;Art;Gebaeude;Wohnungen;Wohnflaeche (1000qm);Wohnraeume;Baukosten
2019;Januar;Wohngebaeude;9103;23705;2359;91060;4293025
2019;Februar;Wohngebaeude;8574;18930;2026;78387;3682697
2019;Maerz;Wohngebaeude;9785;23106;2393;91800;4235457
2019;April;Wohngebaeude;10145;26213;2583;99308;4783361
2019;Mai;Wohngebaeude;10731;26187;2695;104283;4813759
2019;Juni;Wohngebaeude;9619;24237;2486;95129;4656969
